Name (NIST),TepA2,TepA3,TepA4,TepA5,TepA6,TepA7,TepA8,TepC2,TepC3,TepC4,TepD1,TepD2,TepD3,TepE1,OchA1,OchB1,OchB2,OchB3,OchC1,OchC2,OchC3,OchC4,OchE1,AnaA1,AnaA2,AnaA3,AnaA4,AnaB1,AnaB2,AnaB3,AnaB4,AnaC1,AnaC2,AnaC3,AnaD1,AnaD2,AnaD3,XanB1,XanB2,XanB3,XanB4,XanC1,XanC2,XanC3,XanD1,XanD2,XanD3,XanE1,DipA1,DipB1,DipB2,DipB3,DipB4,DipB5,DipB6,DipB7,DipC1,DipC2,DipD1,DipD2,DipD3
"Benzaldehyde, 2,5-dimethyl-",0,0,3832.11,1782.82,22811.01,0,0,12258.59,7936.23,2898.18,0,0,1291.2,30439,11064.31,945.9,28906.45,38909.41,7743,16728.28,0,385967.2,24266.82,27390.56,59166.16,4366.16,8991.33,4647.9,45717.26,1238.63,47963.15,3133.13,33239.4,75119.62,28470.66,14575.47,109549.55,196539.55,37008.41,158997.05,150313.7,26963.79,108022.85,281912.15,118170.6,214433.1,18412.65,115377.25,2856.94,70968.61,473827.95,3728.09,8096.17,43548.15,38409.65,60659.09,182384.15,29883.36,7794.97,346608.05,7286
"Undecanoic acid, methyl ester",2486.21,11588.64,3459.83,6624.01,11035.08,4729.45,6058.91,5158,7512.37,5719.85,7419.6,3857.91,11384,5595.55,16949,1007.51,25260.96,27686,10344.65,12487.32,2729.38,19103,2442.72,24287,52597,39653,18713,38951,26871,6961.7,5195.84,17322,8820.81,56685,55026,49263,36967.58,37471,42499.31,29752,45842,29384,9790,43718,46975,45169,39048,54518,19734,34561,47770,17620.51,13524,23419,11865.86,17639,56745,20494,13787,53443,19026
"Undecanoic acid. 10-methyl-, methyl ester",10979.16,28967,10607.81,20764.4,32022,7577,8824.92,29302.95,6849.57,10663,5616.73,11495,11319.77,29093,10614,3791.09,27743,38392,27377.51,25590,14548,123779,11316,46975,61186,34078,22387,30918,122734,59009,4902.49,59278,22378,76959,49694,29204,44956,69073,44039,57708,59376,45956,43482,75451,46229,51615,40170,231355,67533.51,118339,91533,26651,29415,23306,24993,735638,46797,32721,20470.56,165986,21651
"Benzoic acid, 4-ethoxy-, ethyl ester",13599.33,19816.37,22823.21,28497.2,31814.1,19208.66,27884.26,26297.34,43791.41,30744.71,40331.74,18425.7,46363.44,29858.91,65258.3,16421.54,69567.78,135997.88,56802.25,54925.16,21571.03,312902.71,18991.41,131890.4,173399.75,116005.69,82786.83,141614.99,81228.09,62270.45,29478.1,134924.33,77612.12,210879.6,218898.17,230912.29,243374.52,113033.09,57874.85,81230.14,116284.95,57643.61,28804.8,135382.12,117190.88,159348.28,71027.79,145696.7,32065.36,259617.76,286891.5,131634.42,248092.59,300015.44,128035.61,183893.49,534629.7,242608.09,138290.75,436234.83,279974.83
7-Hexadecene,2875.34,3708.81,6815.31,3994.48,3738.24,6625,5105.49,4268.88,2952.23,3465.42,6295.64,1695.62,2589.7,47654,29647,6152.67,17113,59863,54717,31956.87,8169,114669,3439.27,114027,162004,105873,74303,103507,144605.4,60191,29490,106491,121689,164845,195419,91381,189198,143776,72490,99171,118166,60586,34927,143695,177052,128124,68457,131427,48149.11,267729.7,190604,83101,85461,180051,89948,171631,264177,173063.7,81046,270586,109348
Hexadecane,4692.51,9125.75,11491.35,9118.07,8808.32,13766.03,3776.97,9423.29,7577.73,8090.34,15609.33,4546.83,5086.73,109744.65,69545.26,17077.69,38885.38,131303.95,113261.75,88544.42,24219.49,233077.05,15462.19,224331.6,294744.1,206662.8,144370.75,193232.25,269169.1,111510.25,80743.82,198672.15,261984,319391.2,346585.1,198945.1,347247.65,310928.65,158955.45,220238.1,239935.45,129977.35,89246.79,282380.6,342567,276522.4,130874.1,270804.9,100139.85,405068.7,312081.2,147197.7,130894.05,282265.3,173922.55,349821.95,481258.3,266423.8,137139.35,428503.95,170635.45
"Tridecanoic acid, methyl ester",4249.54,7061.82,6338.38,7159,8137.2,7051.46,5092.74,4130.25,4491.25,5325.77,2818.33,4196.09,5762.37,9419,6542.19,1835.71,8193.68,9984,12131.05,8490,8595.76,22447,5330.44,4977.05,7239.28,5999.13,4637.13,7757.02,7297.08,6872.1,0,5085,5312.85,6179.5,7262,4463.82,7240.22,13961.8,10458.74,6970,6317,9655,9383,15602,10609,6775,10983,15352,25550,21188,6355.45,2837.99,5241.1,4321.78,4526.92,144399,7596.92,7199.56,6014.61,104437,8109.52
2-(Methylmercapto)benzothiazole,1336.63,2717.11,2620.07,3311.45,3481.42,5353.88,1910.47,2428.63,4009.98,6416.1,7247.67,2349.63,522.63,25310.13,16043.24,3509.28,6983.77,23590.61,25960,18466.43,7368.42,42691.24,2009.49,38711.69,50953.77,30269.26,18721.33,28030.77,36428.94,15023.02,10534.34,31358.41,41900.65,49881.61,56292.7,29328.36,53782.54,46262.81,28213.23,30755.78,36990.12,20872.89,16864.14,44272.85,56200.78,40118.18,26712.19,52727.8,21550.82,53021.45,38859.28,17839.9,19066.99,44604.08,27747.05,51932.28,64186.81,42562.02,22380.28,65328.94,27518.9
"Pentadecane, 2,6,10-trimethyl-",901.14,1069.51,1576.13,1978.37,2674.57,2535.49,1482.94,2968.7,3799.69,1447.11,3430.02,989.34,1708.8,12291.92,9406.37,3134.74,5798.73,11681.88,9813.15,9068.88,5259.3,22382.61,1464.27,12882.14,22095.33,14207.94,8838.61,14670.06,11604.9,8506.69,3601.41,18327.89,12414.82,18266.15,24363.4,16207.88,24142.69,21069.5,12199.5,13265.03,14684.92,8971.43,5961.98,18916.65,22508.92,17912.14,13164.5,18552.35,8053.82,24280.19,23253.3,13232.55,13369.26,20020.76,12723.51,11944.7,26788.4,26452.92,16104.5,22200.33,18258.11
Heptadecane,9422.33,16155.64,19890.73,20837.79,24208.46,22300.95,12852.91,16856.68,19400.38,14903.53,20705.11,10086.11,8598.7,108054.2,60519.04,21403.09,38728.01,123481.8,99277.34,68143.18,38513.87,63056,37975.3,111499.4,140906.5,91067.11,59610,95000.34,100690.9,60057.92,40036.79,94147.62,128394.2,159543,152428.2,79712,152040,157627.9,105123.8,106198.9,118294.3,68776.64,58010.83,150038.6,156321.1,125686,83201.69,179242.9,67364.2,181329.9,152363.7,78942.83,85206.85,137545.1,101873.9,187771.1,206733.6,160662,100601,230648.7,105527
6-Hexadecanol,583.17,2711.46,2821.8,3555.88,4560.75,5995.89,2813.94,1672.36,2059.4,1877.76,2708.74,3431.28,15580.51,32812.79,19008.82,6861.3,18396.89,31724.81,29021.25,22509.46,9054.07,69590.59,4375.21,38503.42,62826.79,37406.26,30442.01,37566.98,15020.29,13789.5,11872.5,53825.58,50944.39,53069.66,59872.27,37972.6,44490.11,43754.99,16046.93,25014.11,30579.19,14328,10371.36,56302.47,62786.63,50099.28,24828,34922.81,3983.58,34790.19,80527.25,32157.7,40610,51970.07,25317.85,14021.75,67011.67,92104.4,44220,28445.67,42685.13
"Pentadecane, 2,6,10-trimethyl-�",4180,1972.94,3080.26,3806.07,4357.1,7328.68,5570.3,4067.03,2590.27,3686.45,4765.89,3833.75,9677.74,50746.21,29411.04,18238.77,25631.34,44509.54,35030.16,36163.12,30168.72,58262.97,20883.63,47764.71,76003.93,37037.28,24345.79,34441.39,27041.03,12260.01,24744.51,52013.25,63748.25,65758.71,87898.23,34639.07,70344.89,59938.14,24232.84,42052.2,39037.63,19501.75,22727.23,67108.02,86139.79,51910.39,29075.55,46076.5,23491.57,53955.29,61730.95,21305.14,29396.32,60032.16,31197.34,18517.24,73634.79,70279.76,36111.17,50121.1,36576.92
"Tridecanoic acid, 12-methyl-, methyl ester",134716,197389.9,177253,177143,180218.5,137313.8,110071,112866,98322.47,103645.2,105229.6,103066.8,113145.3,233116,228382,112572,214272,222307,248534,196831.4,187294,268096,160458.1,308700,270167.7,203799,125779,195978,476586,227591,34714.03,248409,187334,355132.5,217772,209532,249235,372056,302291,336862,370032.1,387998,295113,494728,395918,359796,226593,955959,210425.1,351197,135317,78275,82902,99998,119574.6,531000,112436.2,122022,92508.48,269960,104113
"Benzoic acid, 2,4-dihydroxy-3,6dimethyl-,methyl ester",153536.4,299507.76,105593.71,123660.09,57747.69,21018.7,72820.82,10484.48,74350.29,16833.54,21370.34,31657.82,163971.7,76850.45,47718.05,15797.68,41443.22,82767.37,51220.53,47303.01,32530.76,151957.65,7508.57,59548.66,77510.55,59626.37,43359.97,58981.93,40500.94,29661.99,22164.99,76219.93,76995.53,68712.32,77009.58,56961.58,68165.91,76782.63,36857.03,65099.34,65491.31,32026.95,29572.69,92703.58,111930.08,80174.79,47431.32,77417.54,25263.39,66510.35,68886.43,40469.18,44194.42,73695.99,37983.26,40095.64,77113.89,94100.55,58843.21,49628.85,54774.62
