Name (NIST),TepA2,TepA3,TepA4,TepA5,TepA6,TepA7,TepA8,TepC2,TepC3,TepC4,TepD1,TepD2,TepD3,TepE1,OchA1,OchB1,OchB3,OchC1,OchC2,OchC3,OchC4,AnaA1,AnaA2,AnaA3,AnaA4,AnaB1,AnaB2,AnaB3,AnaB4,AnaC1,AnaC2,AnaC3,AnaD1,AnaD2,AnaD3,XanB1,XanB2,XanB3,XanB4,XanC1,XanC2,XanC3,XanD1,XanD3,XanE1,DipA1,DipB1,DipB2,DipB3,DipB4,DipB5,DipB6,DipB7,DipC1,DipC2,DipD1,DipD2,DipD3
Orcinol,124204.581666666,12276.88625,16503.6141666667,10202.77525,58547.0366666667,31838.945,12741.9054166667,9343.02808333334,16603.0009166667,2231.62983333333,154470.825,149606.658333334,10628.5573333333,7444882.83333333,1089696.84166667,1610306.74166666,2510345.66666666,1080473.825,1650987.73333333,1403242.83333333,2617754.10833333,12071.9221666667,8649.72636833334,12496.3175,894941.816666665,28669.3358333333,5400.69873333333,17170.3238333348,6185.97144016667,1312.798145,26111.4,262.415750000568,36329.7395,7449.91482500074,9129.38213616667,4731.03511,191506.775,4013.85372666667,4348.14194833333,2238.75025833333,58360.8486666667,241563.008333333,165.644515833333,8744.57498726667,70642.5208333333,3847696.41666667,2499986.16666667,450469.9,2994822.25,1577088.25,854818.75,1231931.45,2301056.41666667,2979485.41666666,1666968.15833334,2538953.75,4182720.33333334,3239935.5
"Benzenemethanol, 4-hydroy-",24384.555625,17121.2038,15983.19098,20904.97245,8973.648775,11326.2791,15930.132025,10499.522575,16444.976525,15907.791425,19029.6425,11291.689425,7016.385175,46119.936025,84796.27761575,13318.4761,22456.048275,28940.51845,6691.334875,38073.965675,10115.048025,1303.5689425,3746.205675,2578.81336,15449.44575,4156.1862,1569.84339,2844.737635,5343.9441275,4574.41979,4203.66606,327.6667425,5862.015125,7440.998575,7737.953525,2223.910875,7073.658875,2646.216935,8621.514605,1755.509025,4494.558145,17563.5762,3276.5171875,3489.6566225,9653.512475,4558.8207625,213617.35,1996.86420000018,211382.4229275,60603.87575,50327.9848,32853.68275,275297.91,178911.071350125,41828.719,111999.9729,17121.42491,10879.4328225
"Orcinol, monoacetate",291.1582,187.7695,111.8681,161.8302,61.53457,135.8451,210.521,127.1003,676.121,250.5165,2721.387,2469.469,150.9475,58608,116.8939,4308.826,4651.98,753.9135,3460.782,663.0883,4434.393,122.0293,110.8621,157.8004,2324.991,221.1058,43.89584,140.4937,55.04591,26.50491,1.616111E-07,41.28942,152.7795,74.59796,82.25531,49.64435,196.1377,35.64822,145.6433,44.11586,206.7463,564.6712,248.8823,50.19407,59.11274,44548,16935.37,130.0887,53640,107.2354,102.5233,300.8778,18393.53,71617,1360.379,8020.175,41877,64039
"2,6-Difluorobenzoic acid, 3-chloroprop-2-enyl ester",23821,92706,57512,53673,32925,16260,15172,20351,29295,50409,37805,27858,19066,30023,97322,104812,104998,52754,74689,27781,86773,13510,14072,5889,3912.223,4346.19,5812,5674.132,16500,12462,1378.562,2624.074,4959,14615,6069.803,9338,10012,13461,37685,9918,12070,33975,10204,3768.869,6011,26.5052,360.6722,57.49384,312.9463,165.5765,193.1769,536.954,429.2559,308.65,52.53492,434.4301,5628.442,499.3236
"Benzoic acid, 4-ethoxy-, ethyl ester (MEOH)",46690,64364,53149,40706,19450,30501,24517,41848,53177,49068,50780,38183,17215,44843,34413,30688,26550,32824,30131,42854,35350,8031,7948,4662.96,4909,3803.077,2583.361,3778.779,8292,18794.39,1241.994,3153.545,7842,17035,9710,3087.15,3899.376,5193.302,26051,4338.989,4475.894,27106,4808.198,3794,5437.76,4802.411,1931.93,92648.48,43696.11,350.9635,404.2457,979.7291,937.8348,56451.24,33.49707,22.07213,46315,58044
"Orcinol, diacetate",717.2115,8706.293,622.0505,3778.85,7267.479,2935.946,7486.212,6412.337,9811.369,5678,2575.972,2428.495,3681.006,3200.865,3977,4297.084,4562.421,668.5899,1474.748,481.502,3859,1841.062,9631.033,10837.39,5848.449,6539.008,5152,12583.11,7751.687,8726.884,1432.835,1899.785,4060.949,11267,1644.083,16026,4994.14,16807.72,38793.76,21557.26,15435.07,23851.29,17574.47,1100.627,8264.342,3841.97,61.94215,78927.2,3002.27,45.83743,401.8499,179.474,123.0894,1996.04,44.55662,104.23,1741.364,5245.926
"Benzoic acid, 2-hydroxy-4methoxy-6-methyl-,methyl ester",16036,24387,17528,24680.79,12918.22,16346.08,25741.96,20170.19,27734.19,22447.24,20690.36,22698.22,19538.94,7653.565,7499.401,13788.73,5242.911,5823,7742,6500,6401.308,5553,6510,2948.641,2418.26,5108.266,4849.28,3684.862,5083,3932,3514.4,4008.048,12316.22,11879,11689,1125.556,2854.304,4804.004,1779.437,3957.374,2204.075,2589.381,2494.49,1139.357,2839.05,48.66848,8289.977,35699.66,2.39341E-09,44761.17,88474.77,49865.4,17052.84,5.073395E-10,58477.66,33784.72,461.465,2.85054E-09
Diethyl Phthalate,11859.1675,15984.805,11772.514,15436.5,8714.5,10039,16501.295,10831.9965,15240.494,12677.4535,16143.75,11943.165,10181.6815,5637.6382,4042.125,6807.38295,3268.6125,3750.6735,3882.1644,5693.569,3790.34045,4659.2875,4102.2755,1865.19365,1352.01545,2847.14835,2431.35095,1824.3715,2978.90965,1886.10815,1572.76735,2168.23675,6179.24465,5723.514,5477.70215,610.3397,1357.67495,1121.29142,2382.77,2182.21095,926.8943,1286.0963,1748.02825,790.3837,1576.0794,133.32083,448.00882,1108.37250000072,56.45733,1686.37885,3580.44450000889,2524.8488,262.75755,390.559395,3146.6646,1468.11200000152,367.894345,167.191765
"Ethyltriethylene gmycol, TBDMS derivative",33344,17080,9922,8428,3796,5229,3235,7871,5050,4266,3545.872,5359,1866.902,2116.373,1592.714,9348.545,25140,8165,10893.57,6095,13063,178.565,260.2417,270.0152,324.7432,153.3204,116.798,25809.58,118.6851,642.2654,1023.064,146.7829,563.9681,301.3884,1567.135,19599.92,121142.4,142256.6,95333,152184.4,148840.4,1007.639,79630.91,1484.839,10181.9,132.2541,62.26867,138.2351,1412.622,46.99157,1157.824,95.13275,231.2351,84.19585,139.5216,295.0836,60.46301,90.46299
"Benzoic acid, 2-hydroxy-4methoxy-6-methyl-,methyl ester�",180813.46,45070.1072,133939.68732,133571.44132,72945.43022,136895.51362,127113.6994,97351.47998,143070.24512,71269.68198,282185.824,414798.44804,71134.21714,3137322.19,362750.5794,852479.2168,1820671.292,784323.958,1665228.2724,911707.714,1410804.0288,82667.598,60228.8848,151112.9482,634575.332,85053.578,43234.79116,90412.53232,31562.21504,27642.79302,77151.267756,13541.28092,100189.1798,66439.86402,58151.2132,492307.0474,439011.314,64466.58472,55764.9108,25310.4018,367010.0178,271331.2308,44384.4744,184783.81878,233125.29066,1219091.96,420145.84,838703.9174626,830433.092,192078.54316,156614.4626324,230235.03806,358361.736,776760.57,213703.48642,252961.258,2036134.218,1121616.584
"Benzoic acid, 2,4-dihydroxy-3,6-dimethyl-,methyl ester",6165189,6388907,6436567,6404734,3327365,5539911,6221391,6122117,6157231,6163557,5792052,6200136,4280857,2763634,809456.1,411563,225277.2,170760.9,170511,411753,259130,555389,1675710,492084,4436731,931600,491522,1126666,473670,501709,2856935,331450,1376298,802576,2629859,731157.8,912714.4,423312,1033003,757897.4,991627,2980604,28455.98,2013408,749203,51535.91,70349.87,2.944946,52984.24,79952.38,56156.74,46982.52,77099.85,75128.15,64683.77,22588.26,844984.9,70539.87
Ribitol,1502.981,3584.279,1554.69,2562.051,2227.718,1862.647,2452.352,1861.41,2321.016,2097.615,3408.222,2092.555,1156.182,1578.369,8.190713E-10,5827.332,4101,1262.341,1903.648,308.7323,3586.806,3005.286,3986,6988.456,3103.729,8145.326,4580,8033.152,9337,4380,2007.543,2234.974,5460,12077,4350,6891.661,5208.321,4838.748,12352,7818.045,5168.905,14324.89,6385,3253,6138.09,201.9263,4.854506E-10,273.6469,639.1836,906.8279,3140.579,1688.099,140.3211,562.8147,487.0697,29.26024,24.98719,225.1325
"Decanoic acid, hexyl ester",374657,646605,80374,187080,18699.09,72634,56085,57017,210307,312390,123894,74452,22857.53,12574.26,15250.6,4625.025,5234.639,3975.735,3571.997,2242.869,4850.295,1826.316,2105.735,6343.514,4228.729,3388.178,2513.709,2419.6,1726.269,3661.94,1708.438,1727.662,2698.639,2591.491,2872.515,54911.78,21572.4,20785.83,21606.77,25453.22,20176.93,18959.7,48625.56,10572.28,18171.02,7747.125,13452.63,89986.51,14804.06,10768.2,22050.04,15884.39,5475.908,14830.83,11710.17,11603.4,9749.976,13408.06
"9,12-Tetradecadien-1-ol, acetate, (Z,E)-",4698.353,4460.662,3461,3047.499,1501.118,2528.573,3436,2244.16,3184.47,3767.709,4734.769,4878.827,2376.876,5660.333,36241.44,13574,13040.38,2356.32,5348.435,2113.394,12034.27,5014.543,10135,14210.97,9461.359,23739.01,11933.56,13641.84,10369,13330.69,4499.119,9543.957,12638.14,14458.38,16019.03,23527,11103.44,13074.79,40230.21,23288.82,16930.27,41072.89,13774.93,8200,23338,3644.748,4088.76,2344.248,4275.822,5300.561,5541.596,6712.702,5419.783,3924.19,3585.693,3819.636,1810.5,4514.078
"D-Fructose, 5TMS derivative",7121.519,10708,11636,9318.364,4924,5637,13060,10310.82,11773,12494.17,9476,11040,7459,7516.915,3801.396,4957,3257.251,3584,3523.224,2648,5269,4406,4627,3645,3671,23889.35,4047.723,6726.109,7507,3630.539,4518,5169,9837,8518,9697,21663.29,18684.58,16567.87,16441.69,20910.34,12859.48,5940.032,23982.68,6919.762,20261.29,797.8151,41.76156,12.49347,276.733,35.94706,60.80746,81.5322,85.5013,634.5801,51.51338,28.71273,4924.746,1659.893
"1H-indole-6-carboxylic, 2,3,4,5-tetrahydro-7methyl-5-oxo-,methyl ester",1851460,1870807,1845364,1881669,1080949,2022160,2008331,1892505,2057203,2058782,2087343,2483543,1370233,2128142,29837,61651,40411,33636,38071,81848,54478,143763,479077,133975,1535979,241319,125059,326925,101849,88298,521239,43557,229014,124157,504031,219248,143568,96097,243834,121165,197385,687133,83694.62,296099,525107,395632,234522.4,40228,658777,82594.67,8969.801,48219.12,277850.6,1006299,47480.36,30065.92,1082267,656972
Undecanone,732.2435,1118.169,1632.956,568.6513,596.5598,753.2868,936.4961,484.7406,923.2855,1146.609,3096.956,1691.922,834.7052,1082.927,607.7518,1361.658,1042.97,710.1952,425.9755,850.5602,1064.628,5357,15365,15267,7006.635,11418,4868,3996.576,4169,12360,7428.24,14474,32588,22111,14352,3637.789,2289.257,2881.03,5255.664,2492.096,2409.474,3124.745,4234.975,2322.989,3473.789,681.1588,643.0159,184.893,592.3975,847.057,456.4743,835.8561,1051.981,839.7017,797.3929,338.542,465.8178,605.6168
