Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella_parva;
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella_pringsheimii;
Chlorophyta;Trebouxiophyceae;Incertae_sedis;Coccomyxaceae;Coccomyxa;Coccomyxa_viridis1;
Chlorophyta;Trebouxiophyceae;Incertae_sedis;Coccomyxaceae;Coccomyxa;Coccomyxa_viridis2;
Chlorophyta;Trebouxiophyceae;Incertae_sedis;Coccomyxaceae;Coccomyxa;Coccomyxa_viridis3;
Chlorophyta;Trebouxiophyceae;Prasiolales;Incertae_sedis;Elliptochloris;Elliptochloris_perforata1;
Chlorophyta;Trebouxiophyceae;Prasiolales;Incertae_sedis;Elliptochloris;Elliptochloris_perforata2;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia_arboricola;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia_incrustata;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia_vagua;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia1;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia2;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia3;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia4;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia5;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia6;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia7;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Vulcanochloris;Vulcanochloris_symbiotica;
Chlorophyta;Ulvophyceae;Ulotrichales;Incertae_sedis;Tupiella;Tupiella_speciosa1;
Chlorophyta;Ulvophyceae;Ulotrichales;Incertae_sedis;Tupiella;Tupiella_speciosa2;
k__Fungi;;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;;;;
